TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/7/11 12:50,Dataset 1,10/7/11 12:50,15.5,0.135484,0.149616614,15.14644164,15.15552577,0.999400606,-0.000599394,15.5,16,0.13,2000,2000,15.4907094,2000,1997.485195,1997.458009
10/7/11 13:00,Dataset 1,10/7/11 13:00,15.7,0.122293,0.118286681,14.8658884,14.89841578,0.997816723,-0.002183277,15.7,16,0.13,2000,2000,15.66572255,2000,1999.488878,1999.453928
10/7/11 13:10,Dataset 1,10/7/11 13:10,16.66,0.120648,0.163166286,16.63703651,16.57376963,1.003817289,0.003817289,16.66,17,0.13,2000,2000,16.72359604,2000,2000,2000
10/7/11 13:20,Dataset 1,10/7/11 13:20,15.2,0.157895,0.144384264,14.46367095,14.51569797,0.99641581,-0.00358419,15.2,15,0.15,2000,2000,15.14552031,2000,1988.912562,1988.435887
10/7/11 13:30,Dataset 1,10/7/11 13:30,15.43,0.136747,0.152727425,15.13745105,15.19810783,0.996008926,-0.003991074,15.43,15,0.13,2000,2000,15.36841772,2000,1997.021477,1996.810555
10/7/11 13:40,Dataset 1,10/7/11 13:40,14.41,0.149202,0.133202898,14.00261649,14.02681371,0.998274931,-0.001725069,14.41,14,0.15,2000,2000,14.38514175,2000,1985.101161,1984.792287
10/7/11 13:50,Dataset 1,10/7/11 13:50,15.11,0.140304,0.139173519,14.4302221,14.37562977,1.003797561,0.003797561,15.11,15,0.15,2000,2000,15.16738115,2000,1994.785192,1995.07897
10/7/11 14:00,Dataset 1,10/7/11 14:00,14.98,0.141522,0.117075731,14.58466615,14.53262454,1.003581019,0.003581019,14.98,15,0.15,2000,2000,15.03364367,2000,1993.66259,1993.985525
10/7/11 14:10,Dataset 1,10/7/11 14:10,15.61,0.149904,0.15266103,15.42408268,15.42263345,1.000093968,9.40E-05,15.61,16,0.15,2000,2000,15.61146684,2000,1994.516925,1994.524005
10/7/11 14:30,Dataset 1,10/7/11 14:30,15,0.138,0.164685017,14.19363691,14.28130145,0.993861586,-0.006138414,15,15,0.13,2000,2000,14.9079238,2000,1994.882245,1994.370398
10/7/11 14:40,Dataset 1,10/7/11 14:40,14.4,0.130556,0.103356103,14.3211424,14.42562992,0.992756814,-0.007243186,14.4,14,0.13,2000,2000,14.29569812,2000,1993.69744,1992.957883
10/7/11 14:50,Dataset 1,10/7/11 14:50,13.88,0.127522,0.123102935,13.43416063,13.48389451,0.996311608,-0.003688392,13.88,14,0.13,1999.88,1999.88,13.82880512,1999.83,1990.724716,1990.190341
10/7/11 15:00,Dataset 1,10/7/11 15:00,13.01,0.126826,0.154321874,12.88084821,12.95658676,0.994154437,-0.005845563,13.01,13,0.13,1999.01,1999.01,12.93394922,1998.23,1979.403068,1977.392168
10/7/11 15:10,Dataset 1,10/7/11 15:10,12.77,0.11668,0.134076992,12.58001331,12.49405044,1.006880304,0.006880304,12.77,13,0.11,1996.47,1996.47,12.85786148,1997.46,1982.879435,1984.838476
10/7/11 15:20,Dataset 1,10/7/11 15:20,13.34,0.125937,0.149327647,12.81957018,12.77679069,1.003348218,0.003348218,13.34,13,0.13,1999.34,1999.34,13.38466523,1999.38,1985.19254,1985.79604
